Index,IPA
0,<> <> <> <>।।। <>। <> <>
1,a
2,।।।।।।।।।।।।।।।
3,mum mum।
4,।।।।।।।।।
5,।।।।।।।।।
6,", ,"
7,  
8,", ।"
9,"ুরিয়াস,,,,,।,।,।,ত,।,ত,।"
10,।।।।।।।।।।।।।।
11, ।।।। । 
12,।।।।।।।।।
13,","
14,<  
15,   
16,a
17,।।।।।।।।
18,a
19,<>? <>?
20,।।।।।।।।
21,a
22,।।।।।।।।।।
23,a
24,।।।।।।।।।।।
25,a
26,।।।।।।।।।।
27,a
28,তা???
29,।।।।।।।।।।।।।।।
30,।।।।।।।।।।
31,<> <>।।। <>e
32,।।।।।।।।।।।।।
33,।।।।।।।।।।।।।
34,। ।।
35,a
36,। ।।।।।
37,"The ,"
38,a
39,< 
40,< < < 
41,a
42,।।।।।।।।।
43,", পয়লা, পয়লা,,"
44,     
45,।।।।।।।।।।।
46,<> <
47, 
48,<> <
49,।।।।।।।।।।।।
50,a
51,"ho,e  "
52,   
53,।।।।।।।।।।।।।।।।
54,????
55,।।।।।।।।।।
56,?
57,।।।।।।।।।।।।।।।
58, । ।।
59,", "
60,  
61,a
62,।।।।।।।।।।
63,a
64,   
65, 
66,  
67,।।।।।।।।।।।।
68,a
69,।।।।।।।।।।।।।।।
70,a
71,।।।।।।।।।
72,  
73,<> <> <> <>
74,a
75,।।।।।।।।
76,।।।।।।।।।।।।
77,<>
78,। 
79,a
80,।।।।।।।।।।।
81,a
82,।।।।।।।।।
83, 
84,   
85,<> < < 
86,   
87,",ডি,,,।,,"
88,।।।।।।।।।।।।।।।।
89,।     
90,    
91,।।।।।।।।।।
92,a
93,।।।।।।।।।।।।।।।।
94,-
95, 
96,   
97,a
98,a
99,।।।।।।।।।।।।।।।।
100,।।।।।।।
101,।।।।।।।।।।
102,।।।।।।।।।।
103,a
104,  
105,   
106,???
107,।।।।।।।।।।
108,।।।।।।।।
109,।।।।।।।।।।।।।।।
110,a
111,a
112, 
113,।।।।।।।।।।।।।।
114,","
115,।।।।।।।।।।।।।।।।।
116,a
117,""""" """""
118,।। 
119,a
120,।।।।।।।।।।।।
121,।।।।।।।।
122,a
123,।।।।।।।।।।।।।।
124,a
125,।।।।।।।।।।।।
126, 
127,।।।।।।।।।।।।।।
128,a
129,a
130,।।।।।।।।।।।
131, 
132,<> <>।। <>।। <>
133,","
134, ।।।।।।
135,  
136,a
137,।।।।।।।।।।
138,<> <>
139,।।।।।।।।
140,<>।।।।।।।।।।।।
141,।।।।।।।।।।।
142,a
143,।।।।।।।।।।।।।
144,<। <।।।।।
145,।।।।।।।।
146,।।।।।।।।।।
147,a
148,-  
149,a
150,।।।।।।।।।।।।।।।
151,।।।।।।।।
152,।।।।।।।।।।।।।
153,<> < <। <
154,a
155, ।।।।।।।।।।
156,।।।।।।।।।।।।।।।।।
157,।।।। 
158, 
159,a
160, 
161,a
162,।।।।।।।।।।।।।।
163,।।।।।।।।।
164,< < 
165,।।।।।।।।।।।।।।।
166,a
167,  
168,  
169,<> <> < 
170,।।।।।।।।।।।
171,a
172,।।।।।।।।।।।।।।।
173,   
174,a
175,।।
176,"-কী,-কী,"
177,  
178,।।।
179,।।।।।।।।।।।
180,।।।।।।
181,Ichch Ich  Ich
182,a
183,""" "
184,।।।।।।।।।।
185,।।।।।।।।।
186,।।
187,এইল   
188,a
189,a
190,"- - Yes, । অবশ্যই। , , , "
191,e
192,।।।।।।।।।।।।।।।।
193,ি।।।।।।।।।।।।।।।।।।।।
194,।।।।।।।।।।
195,  
196,a
197,"No, ,"
198,।।।।।।।।।।।।।।
199,।।।।।।।।।।।।।।।
200,     
201,।।।।।।।।
202,<> <
203,   
204,a
205,।।।।।।।।
206,<>। <
207,< < < <।
208,।।।।।।।।।।।।।।।।।
209,।।।।।।।।।।।।।
210,।।।।।।।।।।
211,।।।।।।।।।।
212,  
213,।।।।।।।।।।।।
214,     
215,।।।।।।।।।
216,।।।।।।।।
217,a
218,।।।।।।।।।।
219,।।।।।
220,<> < < <  
221,।।
222,a
223,a
224,a
225,   
226,a
227, 
228,।।।।।।।।
229,What is the  
230,So? <
231,  
232,।।।।।।।।।।।।।
233,?
234,a
235, ।।।।। 
236, 
237,।।।।।।।।
238,What
239,।।।। 
240,",,"
241,","
242,What fish? What fish?
243,What fish?
244,a
245,I m
