id,string
0,elɐ ʃɔbɐe̯ ʃɔbɐɾ  hɐt̪ot̪o <> ɔʃhɐe̯ mɐnuʃ ɐce?
1,ke͡u̯ kɐɾo ɪʲɐ nɐ͡ɪ̯।
2,"elɐ o͡ɪ̯ ɟe, kɐ͡ɪ̯lkɐ bɛtɐe̯ ɪpot̪ɐɾɪ ɐnce, kʰɐ͡ɪ̯coŋ, ɪpot̪ɐɾɪ ete pʰɪɾɪɟot̪ t̪ʰu͡ɪ̯c"
3,ɐɾ mu͡ɪ̯ ɐgot̪ kɪ koɾcɪnu?
4,"<> ɐgeɾ kɔt̪ɐ bɐd̪ d̪e͡o̯, elɐ nɐ͡ɪ̯।"
5,ɐgeɾ d̪ɪn bʱulɪ ɟɐ͡o̯।
6,"ɐget̪ kɛmon ɪnkɐm ɐcʰɪlo, ɐget̪ ɟɛmon hɐt̪ot̪o tɛkɐ ɐcʰɪlo, kɛmon nɐɽɐcɐɽɐ koɾcen, ɐge t̪omɐɾ, "
7,ɐge t̪omɐɾ ɟɪnɪʃ-pɐt̪ɪɾ d̪ɐmo kɔm ɐcʰɪlo।
8,"ɛkon mone koɾo, tɛkɐ͡ɐ̯lɐ ʃɐhɪnok, ʃɐhɪneɾ mɐʲok, pʰɪɾoɟeɾ bɔ͡u̯ʲok, o͡ɪ̯ pʰɪɾoɟeɾ betɪk, p"
9,"ɐɾ ɐge tekɐ ɐlɐ ɐʃɪl kʰɐl, kɐe̯?"
10,ɟɐe̯ bɐɟɐɾ nɪʲɐ hɐtt̪ gesɪlo ɐɾ ɐccʰɪlo।
11,d̪u͡ɪ̯tɐ tekɐ t̪ɐɾɪ ɐʃɪl।
12,ɐllɐhoɾ kɐcʰe hɐɟɐɾ ʃukuɾ moɾ kono ɟɪnɪʃeɾ tʰɛkɐ nɐ͡ɪ̯।
13,bɔ͡u̯ noʷɐe̯?
14,<> t̪omɐɾ kɪʃeɾ e͡ɪ̯ tʰɛkɐ t̪omɐɾ <>
15,"ɐllɐh, ɐllɐh ɟẽ ɟomɪn nɐ͡ɪ̯ hɐt̪ pɐʲeɾ upoɾ d̪ɪʲɐ e͡ɪ̯ ʃukuɾ cɐlɐe̯ e͡ɪ̯tɐe̯ ɐllɐhoɾ kɐ"
16,lɐkʰo ʃukɾɪʲɐ।
17,e͡ɪ̯ bɐɽeɾ ɟonne ɔʃhɐe̯ honu hɔe̯ bɐbɐ।
18,kɐ͡ɪ̯ʲo kɪcʰu d̪ɪle nɐ hɔe̯।
19,e͡ɪ̯ ɛt̪okonɐ ɛkʰonɐ <> kɐ͡ɪ̯ kɪ d̪ɪbe?
20,o͡ɪ̯llɐ nohɐe̯ kɔt̪ɐ।
21,kɐɾo।
22,o͡ɪ̯ɟe kɔɾmopʰɔl d̪ebʃeɾ mɐlɪk ɐllɐh ɟɐɾ kɔɾmo ɟɛmon t̪ɐk pʰɔl t̪ɛmon d̪ebe।
23,t̪ɛmon d̪ebe।
24,pʰesbukɔt̪o bole d̪ɪʃe bole kɐ͡ɪ̯lkɐ bole।
25,kɪ d̪ɪʃe?
26,ɐ̃kɐʃtɐ bole lɐl ho͡ɪ̯ʃe।
27,kɐlɪ pʰesbukɔt̪o ɔnekɟɔne d̪ɪʃe etɐ।
28,kɪ t̪ɐ kɪ?
29,"o͡ɪ̯ɟe t̪ɐɾɐɾ ɟẽ, t̪ɐɾɐɾ <> t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hosɪl nɐ।"
30,t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hosɪl।
31,<> ɐʃole e͡ɪ̯t̪ɐ ho͡ɪ̯lo ʃɐmne d̪uɾbʱɔk d̪ɛkʰɐ d̪ɪbe t̪ɐɾ ɛkt̪ɐ lɔkkʰon।
32,ɐɾe etɐ bol ɟekon ɛktɐ lɔkkʰon mu͡ɪ̯ t̪o ko͡ɪ̯ʃu d̪ekʰɪʲɐ।
