id,string
0,elɐ ʃɔbɐe̯ ʃɔbɐɾ hɐt̪ot̪ <> ɔʃɔhɐe̯ mɐnuʃ ɐce?
1,ke͡u̯ kɐɾo ɪjɐ nɐ͡ɪ̯।
2,"elɐ o͡ɪ̯ ɟe, kɐ͡ɪ̯lkɐ bɛtɐe̯ ɪpot̪ɐɾɪ ɐnce, khɐ͡ɪ̯coŋ, ɪpot̪ɐɾɪ ete phɪɾɪɟot̪ t̪hu͡ɪ̯coŋ, ɐ͡ɪ̯ɟkɐ elɐ khɐ͡ɪ̯m।"
3,ɐɾ mu͡ɪ̯ ɐgot̪ kɪ koɾcɪnu?
4,"<> ɐgeɾ kɔt̪ɐ bɐd̪ d̪e͡o̯, elɐ nɐ͡ɪ̯।"
5,ɐgeɾ d̪ɪn bɦulɪ ɟɐ͡o̯।
6,"ɐget̪o kɛmon ɪnkɐm ɐchɪlo, ɐget̪o ɟɛmon hɐt̪ot̪ tɛkɐ ɐchɪlo, kɛmon nɐɽɐcɐɽɐ koɾcen, ɐge t̪omɐɾ, elɐ ɐce?"
7,ɐge t̪omɐɾ ɟɪnɪʃ-pɐtɪɾ d̪ɐmɔ͡o̯ kɔm ɐchɪlo।
8,"ɛkɔn mone koɾo, tɛkɐ͡ɐ̯lɐ ʃɐhɪnok, ʃɐhɪnɪɾ mɐjok, phɪɾoɟeɾ bɔ͡u̯jok, o͡ɪ̯ phɪɾoɟeɾ betɪk, phɪɾoɟek"
9,"ɐɾ ɐge tekɐ ɐlɐ ɐʃɪlo khɐl, kɐe̯?"
10,ɟɐe̯ bɐɟɐɾ nɪjɐ hɐt̪ geʃɪl ɐɾ ɐcchɪlo।
11,d̪u͡ɪ̯tɐ tekɐ t̪ɐɾɪ ɐʃɪl।
12,ɐllɐhoɾ kɐche hɐɟɐɾ ʃukɐɾ moɾ kono ɟɪnɪseɾ thɛkɐ nɐ͡ɪ̯।
13,bɔ͡u̯ nojɐe̯?
14,<> t̪omɐɾ kɪʃeɾ e͡ɪ̯ thɛkɐ t̪omɐɾ <>
15,"ɐllɐh, ɐllɐh ɟẽ ɟomɪn nɐ͡ɪ̯ hɐt̪ pɐjeɾ upoɾ d̪ɪjɐ e͡ɪ̯ ʃukɐɾ cɐlɐe̯ e͡ɪ̯tɐe̯ ɐllɐhoɾ kɐcche।"
16,lɐkho ʃukɾɪjɐ।
17,e͡ɪ̯ bɐɽeɾ ɟonne ɔʃɔhɐe̯ hunu hɔe̯ bɐbɐ।
18,kɐ͡ɪ̯jo kɪchu d̪ɪle nɐ hɔe̯।
19,e͡ɪ̯ ɛt̪onɐ ɛkhonɐ <> kɐ͡ɪ̯ kɪ d̪ɪbe?
20,o͡ɪ̯llɐ nohɐe̯ kɔt̪ɐ।
21,kɐɾo।
22,o͡ɪ̯ɟe kɔɾmophɔl d̪eʃeɾ mɐlɪk ɐllɐh ɟɐɾ kɔɾmo ɟɛmon t̪ɐk phɔl t̪ɛmon d̪ebe।
23,t̪ɛmon d̪ebe।
24,phesbukɔt̪o bole d̪ɪʃe bole kɐ͡ɪ̯lkɐ bole।
25,kɪ d̪ɪʃe?
26,ɐ̃kɐʃtɐ bole lɐl ho͡ɪ̯ʃe।
27,kɐlɪ phesbukɔt̪o ɔnekɟɔne d̪ɪʃe etɐ।
28,kɪ t̪ɐ kɪ?
29,"o͡ɪ̯ɟe t̪ɐɾɐɾ ɟẽ, t̪ɐɾɐɾ <> t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hɪl nɐ।"
30,t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hoʃɪl।
31,<> ɐʃole e͡ɪ̯t̪ɐ ho͡ɪ̯lo ʃɐmne d̪uɾbɦɔk d̪ɛkhɐ d̪ɪbe t̪ɐɾ ɛkt̪ɐ lɔklon।
32,ɐɾe etɐ bol ɟekon ɛktɐ lɔlon mu͡ɪ̯ t̪o ko͡ɪ̯ʃu d̪ekhɪjɐ।
33,"kɐ͡ɪ̯lkɐ bole, t̪ɐmɐn ɐʃɐʃ bole ɪjɐ ho͡ɪ̯be।"
34,"e͡ɪ̯ ɟonne ɔneke ko͡ɪ̯ce ɟe, ɛk bɔcɔɾeɾ khɐbɐɾ mɔɟut̪ ɾɐkhɐɾ ɟonne।"
35,<> ɐllɐ!
36,"ɾoɟɐ monoɾo d̪ɪnot̪, khɐbɐɾ kɪcu mɔɟut̪ ɾɐkhɐɾ ɟonne।"
37,ʃɔɾkɐɾe?
38,"ʃɔɾkɐɾ nɐ, bɪbɦɪnno ɟɔne bolt̪eche ɐɾ kɪ।"
39,"d̪ɦuɾ, o͡ɪ̯gɔlɐ kɔt̪ɐ ko͡ɪ̯ʃ nɐ, ʃɔɾkɐɾ <>"
40,"ʃɔɾkɐɾe d̪ee̯ nɐ͡ɪ̯ <> e͡ɪ̯ ʃono, ɛkɔn e͡ɪ̯ ɟe, bɔɾt̪omɐneɾ ɟug।"
41,"ɟɐmɾɐ moɟut̪ ɾɐkhe, t̪ɐmɾɐe̯ ɛkɔn khɐbɐɾ pɐe̯ nɐ।"
42,e͡ɪ̯tɐe̯ ɟɐnɪ ɾɐko।
