id,string
0,ellɐ ʃɔbɐe̯ ʃɔbɐɾ hɐt̪t̪o <> ʃɔbɐe̯ mɐnuʃ ɐce?
1,kɛ͡u̯ kɐɾo ɪjɐ nɐ͡ɪ̯।
2,"ellɐ o͡ɪ̯ ɟe, ko͡ɪ̯lkɐ bɛtɐe̯ ɪpt̪ɐɾɪ ɐnce, khɐ͡ɪ̯cchuŋ, ɪpt̪ɐɾɪ ete phɪɾɪʃot̪o t̪hu͡ɪ̯cchuŋ, ɐ͡ɪ̯ɟkɐ elɐ khɐ͡ɪ̯mu।"
3,ɐɾ mu͡ɪ̯ ɐɾot̪ kɪ koɾcɪnu?
4,"<> ɐgeɾ kɔt̪ɐ bɐd̪ d̪e͡o̯, elɐ nɐ͡ɪ̯।"
5,ɐgeɾ d̪ɪn bɦɐlɪ ɟɐ͡o̯।
6,"ɐget̪ kɔmon ɪkɐm ɐchɪlo, ɐge t̪omɐɾ, elɐ ɐce?"
7,ɐge t̪omɐɾ ɟɪnɪʃ-t̪ɐtɪɾ d̪ɐmɔ͡o̯ kɔm ɐchɪlo।
8,"ɛkn mone koɾo, tɛkɐ͡ɐ̯lɐ khɐɾɪnok, khɐɾɪnɪɾ mɐ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡"
9,"ɐɾ ɐge tehɐ ɐlɐ ɐʃɪl khɐl, kɐe̯?"
10,ɟɐe̯ bɐɟɐɾ nɪjɐ hɐɽt̪ geʃɪl ɐɾ ɐchɪlo।
11,d̪u͡ɪ̯tɐ tehɐ t̪ɐɾɪ ɐlɪn।
12,ɐllɐhɐɾ kɐche hɐɟɐɾ ʃumɐɾ moɾ kono ɟɪnɪʃeɾ thɔkɐ nɐ͡ɪ̯।
13,bɔ͡u̯ nɐjɐe̯?
14,<> t̪omɐɾ kɪʃeɾ e͡ɪ̯ thɔkɐ t̪omɐɾ <>
15,"ɐllɐh, ɐllɐh ɟẽ ɟɪmɪn nɐ͡ɪ̯ hɐt pɐjeɾ ɾɔɾ d̪ɪjɐ e͡ɪ̯ ʃumɐɾ cɐcche।"
16,lɐkh ʃukɐɾɪ।
17,e͡ɪ̯ bɐɽeɾ ɟɔmɔe̯ ʃɔboɾe honu hɔbe bɐbɐ।
18,kɐ͡ɪ̯jo kɪchu d̪ɪle nɐ hɔe̯।
19,e͡ɪ̯ ɛkhonɐ ɛkhonɐ <> kɐ͡ɪ̯ kɪ d̪ɪbe?
20,o͡ɪ̯llɐ nɔhon kɔt̪ɐ।
21,kɐɾo।
22,o͡ɪ̯ɟe kɔɾphɔl d̪ɪʃeɾ mɐlɪk ɐllɐh ɟɐɾ ʃɔm ɟemon t̪o phɔl t̪et̪o d̪ebe।
23,t̪ɔmon d̪ebe।
24,phɔʃomɪt̪o bole d̪ɪʃe bole ko͡ɪ̯lkɐ bole।
25,kɪ d̪ɪʃe?
26,ɐ̃ʃtɐ bole lɐl ho͡ɪ̯ʃe।
