id,string
0,m m m > m k k?
1,m m m m
2,"m m e, m m m m m, m m m m m, m m m m m"
3,m m m k k?
4,"> m m m m, m m"
5,m m m m
6,"m m m m, m m m m m m, m m m, m m?"
7,m m -m m m m
8,"m m m, m m, m m, m m m, m m m, m"
9,"m m m m m m, m?"
10,m m m m m m m
11,m m m m
12,m m m m m m m m m m m m
13,k k?
14,> m m m m >
15,", m m m m m m m m m m m m m m m m m m m m m m m m m m m e, m m m"
16,m e
17,m m m m m m m
18,m m m m m
19,m m > m k k?
20,m m e
21,m
22,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e e
23,m e
24,m m m m m m
25,k k?
26,m m m m
27,m m m m m
28,m k k?
29,"m m e, m > m m m m m m m m"
30,m m m m m
31,> m m m m m m m m m m m m m m m m m
32,m m m m m m m m m m m m m m m m
33,"m e, m m m e e"
34,"m m m m m m, m m m m m m m m"
35,> h!
36,"m m e, m m m m e"
37,k?
38,"m e, m m m e e"
39,", m m m m, m >"
40,"m m m > m m, m m m, m m"
41,"m m e, m m m m e"
42,m m e
43,"m m m m, m m m m m m, m m m m, m m m m"
44,"m m m m m m m m m m m m m m m m, m m m m m m m m m m m m e e e e"
45,", m m m m m m m m m m m m m m"
46,> m m m m
47,m e
48,> m m m m m
49,m m e
50,m k k?
51,", m m m e k k?"
52,m m m m m
53,", m m m m, m > m m m m m m"
54,m m m k k?
55,","
56,"m e, m e e?"
57,"m m m m, m m m m m, m m m m, m m m m m m m m, m m m m m m m e e e"
58,m m e
59,"> m e, m m e e e, m e,"
60,"m e, m m e e k?"
61,m m!
62,m m m m m
63,m m m m
64,"m m m m, m m m m"
65,m m m m
66,"m m e, m m m e"
67,m m m m m m
68,m m m k k?
69,m m m m m m m
70,k k?
71,"m e, m m e"
72,m m m m
73,"> m m m m m, m m m?"
74,m m m e!
75,m e
76,", m m m m m m m m m, m m m m m"
77,m > m k?
78,", m m m, m m m m m"
79,"m m m m m m m m m m, m m m m m m m m k?"
80,"m m m m, m m"
81,"m e, m m e e"
82,m m m m
83,m m m k k?
84,m m m m
85,", m m m m > m,m m m m m"
86,", m m m m m"
87,"m , m , m"
88,"m m m, m m"
89,"m m e, m m e, m e, m e"
90,m m m m m m
91,"m , m"
92,m m -m m k?
93,"m m m, m, m, m m m -m, m m"
94,m m m m -m m
95,"m e, m m e k?"
96,"m, m, m m, m m, m m m, m m m m?"
97,", "
98,k k?
99,"m m m m m, m m m, m m"
100,"m e, m e"
101,"m m m, m m"
102,m m e
103,", m m m e e, m e e e"
104,k k?
105,"m m m m m, m m m m k?"
106,k k?
107,m e
108,m m m m m m
109,"m m m m m m, m m, m m m > m m m m k?"
110,k?
111,k k?
112,m m e
113,> m m m m m
114,m k k?
115,m e
116,k k?
117,"m e, m m e"
118,", m "
119,m e e e e e
120,m m m m m m m
121,m m m m
122,m m m m m k k?
123,> m m m m m m m
124,m m e
125,"> m > m > m m, m m m m m m"
126,m m k k?
